Ln n J mJ A2 A4 A6

Ce 1 2.5 2.5 -0.2857 0.0476 0.0000
Ce 1 2.5 1.5 0.0571 -0.1429 0.0000
Ce 1 2.5 0.5 0.2286 0.0952 0.0000

Pr 2 4 4 -0.2941 -0.0771 0.0192
Pr 2 4 3 -0.0735 0.1157 -0.0817
Pr 2 4 2 0.0840 0.0606 0.1057
Pr 2 4 1 0.1786 -0.0496 0.0048
Pr 2 4 0 0.2101 -0.0992 -0.0961

Nd 3 4.5 4.5 -0.1157 -0.0550 -0.0359
Nd 3 4.5 3.5 -0.0386 0.0672 0.1316
Nd 3 4.5 2.5 0.0193 0.0520 -0.1197
Nd 3 4.5 1.5 0.0579 -0.0092 -0.0718
Nd 3 4.5 0.5 0.0771 -0.0550 0.0957

Pm 4 4 4 0.1080 0.0428 0.0191
Pm 4 4 3 0.0270 -0.0642 -0.0814
Pm 4 4 2 -0.0309 -0.0336 0.1053
Pm 4 4 1 -0.0656 0.0275 0.0048
Pm 4 4 0 -0.0771 0.0550 -0.0957

Sm 5 2.5 MJ 0.2063 0.0118 0.0000
Sm 5 2.5 MJ -0.0413 -0.0563 0.0000
Sm 5 2.5 MJ -0.1651 0.0375 0.0000

Tb 8 6 6 -0.3333 0.0909 -0.0117
Tb 8 6 5 -0.1667 -0.0606 0.0291
Tb 8 6 4 -0.0303 -0.0882 -0.0042
Tb 8 6 3 0.0758 -0.0496 -0.0228
Tb 8 6 2 0.1515 0.0101 -0.0117
Tb 8 6 1 0.1970 0.0558 0.0106
Tb 8 6 0 0.2121 0.0771 0.0212

Dy 9 7.5 7.5 -0.3333 -0.1212 0.0583
Dy 9 7.5 6.5 -0.2000 0.0404 -0.1049
Dy 9 7.5 5.5 -0.0857 0.0981 -0.0350
Dy 9 7.5 4.5 0.0095 0.0892 0.0529
Dy 9 7.5 3.5 0.0857 0.0448 0.0780
Dy 9 7.5 2.5 0.1429 -0.0102 0.0403
Dy 9 7.5 1.5 0.1810 -0.0573 -0.0224
Dy 9 7.5 0.5 0.2000 -0.0839 -0.0672

Ho 10 8 8 -0.1333 -0.0909 -0.1166
Ho 10 8 7 -0.0833 0.0227 0.1894
Ho 10 8 6 -0.0400 0.0682 0.0874
Ho 10 8 5 -0.0033 0.0682 -0.0728
Ho 10 8 4 0.0267 0.0420 -0.1434
Ho 10 8 3 0.0500 0.0052 -0.1042
Ho 10 8 2 0.0667 -0.0297 -0.0022
Ho 10 8 1 0.0767 -0.0542 0.0953
Ho 10 8 0 0.0800 -0.0629 0.1345

Er 11 7.5 7.5 0.1333 0.0909 0.1166
Er 11 7.5 6.5 0.0800 -0.0303 -0.2098
Er 11 7.5 5.5 0.0343 -0.0736 -0.0699
Er 11 7.5 4.5 -0.0038 -0.0669 0.1068
Er 11 7.5 3.5 -0.0343 -0.0336 0.1560
Er 11 7.5 2.5 -0.0571 0.0077 0.0807
Er 11 7.5 1.5 -0.0724 0.0430 -0.0448
Er 11 7.5 0.5 -0.0800 0.0629 -0.1345

Tm 12 6 MJ 0.3333 0.1212 -0.0583
Tm 12 6 MJ 0.1667 -0.0808 0.1457
Tm 12 6 MJ 0.0303 -0.1175 -0.0212
Tm 12 6 MJ -0.0758 -0.0661 -0.1139
Tm 12 6 MJ -0.1515 0.0135 -0.0583
Tm 12 6 MJ -0.1970 0.0784 0.0530
Tm 12 6 MJ -0.2121 0.1028 0.1060

Yb 13 3.5 3.5 0.3333 -0.0909 0.0117
Yb 13 3.5 2.5 0.0476 0.1688 -0.0583
Yb 13 3.5 1.5 -0.1429 0.0390 0.1049
Yb 13 3.5 0.5 -0.2381 -0.1169 -0.0583
